time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,distance,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
114.822960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.002197,0.000000,0.002197,0.000000,0,-4500,-4500,0
114.831741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.000000,0.000977,-0.001465,0.000000,0,-4500,-4500,0
114.841515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031288,0.042051,0.064533,0.002686,-0.000732,0.002686,0.000000,0,-4500,-4500,0
114.851273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.002686,-0.002197,-0.001953,0.000000,0,-4500,-4500,0
114.861046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.003662,0.001465,0.003662,0.000000,0,-4500,-4500,0
114.870804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.004150,-0.001221,0.000000,0.000000,0,-4500,-4500,0
114.880577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.005859,0.000000,-0.000977,0.000000,0,-4500,-4500,0
114.890366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.005371,-0.001221,-0.002441,0.000000,0,-4500,-4500,0
114.900101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.003662,0.000977,0.000488,0.000000,0,-4500,-4500,0
114.909866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.006348,0.001465,0.001221,0.000000,0,-4500,-4500,0
114.919632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.007568,0.000488,0.002686,0.000000,0,-4500,-4500,0
114.929398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.002197,0.000488,0.001221,0.000000,0,-4500,-4500,0
114.939163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.004150,-0.001221,0.000488,0.000000,0,-4500,-4500,0
114.948929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.006348,-0.001709,0.003662,0.000000,0,-4500,-4500,0
114.958694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.003662,0.000977,0.000488,0.000000,0,-4500,-4500,0
114.968460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.004883,-0.001221,-0.001465,0.000000,0,-4500,-4500,0
114.978226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.000000,0.003174,0.000488,0.000000,0,-4500,-4500,0
114.987991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.000977,0.001465,0.000488,0.000000,0,-4500,-4500,0
114.997757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.002686,0.001953,-0.000977,0.000000,0,-4500,-4500,0
115.007523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,-0.001465,0.001465,0.001221,0.000000,0,-4500,-4500,0
115.017288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,0.000488,-0.001221,0.002686,0.000000,0,-4500,-4500,0
115.027054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,-0.001465,0.000977,0.000000,0.000000,0,-4500,-4500,0
115.040733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031006,0.041992,0.064453,-0.002197,0.004150,0.000000,0.000000,0,-4500,-4500,0
115.052452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031356,0.042169,0.064659,-0.001465,-0.002197,0.001221,0.000000,0,-4500,-4500,0
115.064178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,0.000977,0.000977,0.000488,0.000000,0,-4500,-4500,0
115.073929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,0.007568,0.000000,0.002197,0.000000,0,-4500,-4500,0
115.083694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,0.003662,0.002686,0.000488,0.000000,0,-4500,-4500,0
115.093468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,0.002686,-0.001221,0.001709,0.000000,0,-4500,-4500,0
115.103233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,0.004150,-0.001709,0.001221,0.000000,0,-4500,-4500,0
115.112991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,0.004883,0.000488,0.001709,0.000000,0,-4500,-4500,0
115.122757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,0.003662,0.000977,0.001709,0.000000,0,-4500,-4500,0
115.132523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,0.003662,-0.002197,0.001709,0.000000,0,-4500,-4500,0
115.142288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,0.003662,0.001465,0.000000,0.000000,0,-4500,-4500,0
115.152054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,0.003174,-0.000732,0.000000,0.000000,0,-4500,-4500,0
115.161827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,-0.000977,-0.000732,0.001221,0.000000,0,-4500,-4500,0
115.171585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,0.001709,0.002686,0.001709,0.000000,0,-4500,-4500,0
115.181351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,0.002197,0.001953,0.001221,0.000000,0,-4500,-4500,0
115.191116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,-0.002686,0.000488,-0.000977,0.000000,0,-4500,-4500,0
115.200882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,0.000000,0.001465,0.000000,0.000000,0,-4500,-4500,0
115.210655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,-0.001465,0.000488,-0.001465,0.000000,0,-4500,-4500,0
115.220413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.041992,0.064453,0.001709,0.001953,0.002197,0.000000,0,-4500,-4500,0
