time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,distance,FPS_images,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
672.835205,-2.738281,-1.437500,-0.089844,0.000000,0.000000,-0.008772,0.020752,0.042480,2.515625,-0.002686,0.001953,-0.000244,28.529510,51.200001,0,-156,-428,0
672.844971,-2.738281,-1.437500,-0.089844,0.000000,0.000000,-0.008860,0.020752,0.042480,2.515625,-0.002686,0.001465,0.000244,28.529510,51.200001,0,-156,-427,0
672.854736,-2.738281,-1.437500,-0.089844,0.000000,0.000000,-0.009325,0.020752,0.042480,2.515625,-0.000488,0.003174,-0.000244,28.529510,51.200001,0,-157,-429,0
672.864502,-2.738281,-1.437500,-0.089844,0.000000,0.000000,-0.008650,0.020752,0.042480,2.515625,0.002686,0.003174,-0.000244,28.529510,51.200001,0,-160,-429,0
672.874268,-2.738281,-1.437500,-0.089844,0.000000,0.000000,-0.009092,0.020752,0.042480,2.515625,0.000977,0.002686,-0.000244,28.529510,51.200001,0,-158,-429,0
672.884033,-2.738281,-1.437500,-0.089844,0.000000,0.000000,-0.009024,0.020752,0.042480,2.515625,0.005127,0.000977,0.002441,28.529510,51.200001,0,-162,-427,0
672.893799,-2.738281,-1.437500,-0.089844,0.000000,0.000000,-0.009949,0.020991,0.042594,2.515539,0.004639,0.005371,0.000244,28.529510,51.200001,0,-161,-432,0
672.903564,-2.738281,-1.437500,-0.089844,0.000000,0.000000,-0.009544,0.020752,0.042480,2.515625,0.003174,0.003662,-0.001221,28.529510,51.200001,0,-160,-431,0
672.913330,-2.738281,-1.437500,-0.089844,0.000000,0.000000,-0.010466,0.020752,0.042480,2.515625,0.005127,0.001953,0.000244,28.529510,51.200001,0,-162,-430,0
672.923096,-2.738281,-1.437500,-0.089844,0.000000,0.000000,-0.010794,0.020752,0.042480,2.515625,0.001953,0.001953,0.000732,28.529510,51.200001,0,-160,-430,0
672.932861,-2.738281,-1.437500,-0.089844,0.000000,0.000000,-0.010042,0.020752,0.042725,2.515625,0.000488,0.004639,-0.000732,28.529510,51.200001,0,-159,-433,0
672.942627,-2.738281,-1.437500,-0.089844,0.000000,0.000000,-0.010324,0.020752,0.042725,2.515625,0.000000,0.005371,-0.000244,28.529510,51.200001,0,-159,-434,0
672.952393,-2.738281,-1.437500,-0.089844,0.000000,0.000000,-0.010777,0.020752,0.042725,2.515625,-0.004395,0.003662,-0.001953,28.529510,51.200001,0,-155,-432,0
672.962158,-2.738281,-1.437500,-0.089844,0.000000,0.000000,-0.011120,0.020752,0.042725,2.515625,-0.005371,0.004639,-0.000244,28.529510,51.200001,0,-154,-433,0
672.971924,-2.738281,-1.437500,-0.089844,0.000000,0.000000,-0.010174,0.021050,0.042807,2.515498,0.003174,0.003662,-0.001221,28.529510,51.200001,0,-157,-431,0
