x_east_m,y_north_m,lat,lon,mnt_m,mns_m,mnh_m
-300.0,300.0,48.8131449,7.8476078,143.77,143.77,0.0
-290.0,300.0,48.8131449,7.8477442,143.55,143.55,0.0
-280.0,300.0,48.8131449,7.8478806,143.36,151.91,8.54
-270.0,300.0,48.8131449,7.848017,143.32,154.22,10.89
-260.0,300.0,48.8131449,7.8481534,143.29,151.89,8.6
-250.0,300.0,48.8131449,7.8482898,143.12,143.12,0.0
-240.0,300.0,48.8131449,7.8484262,143.2,143.26,0.05
-230.0,300.0,48.8131449,7.8485626,143.05,143.05,0.0
-220.0,300.0,48.8131449,7.848699,142.96,147.32,4.35
-210.0,300.0,48.8131449,7.8488355,143.01,143.01,0.0
-200.0,300.0,48.8131449,7.8489719,143.02,148.32,5.3
-190.0,300.0,48.8131449,7.8491083,142.95,142.95,0.0
-180.0,300.0,48.8131449,7.8492447,142.97,145.98,3.01
-170.0,300.0,48.8131449,7.8493811,143.02,143.02,0.0
-160.0,300.0,48.8131449,7.8495175,142.99,142.99,0.0
-150.0,300.0,48.8131449,7.8496539,143.12,143.27,0.14
-140.0,300.0,48.8131449,7.8497903,142.94,144.5,1.56
-130.0,300.0,48.8131449,7.8499267,142.85,143.16,0.31
-120.0,300.0,48.8131449,7.8500631,142.84,158.03,15.19
-110.0,300.0,48.8131449,7.8501995,142.95,146.46,3.51
-100.0,300.0,48.8131449,7.8503359,142.7,145.6,2.89
-90.0,300.0,48.8131449,7.8504723,142.67,153.81,11.14
-80.0,300.0,48.8131449,7.8506087,142.65,142.65,0.0
-70.0,300.0,48.8131449,7.8507452,142.7,142.7,0.0
-60.0,300.0,48.8131449,7.8508816,142.6,142.6,0.0
-50.0,300.0,48.8131449,7.851018,142.52,142.52,0.0
-40.0,300.0,48.8131449,7.8511544,142.78,153.12,10.34
-30.0,300.0,48.8131449,7.8512908,142.68,152.56,9.88
-20.0,300.0,48.8131449,7.8514272,142.71,157.78,15.07
-10.0,300.0,48.8131449,7.8515636,142.67,154.91,12.25
0.0,300.0,48.8131449,7.8517,142.58,151.02,8.44
10.0,300.0,48.8131449,7.8518364,142.49,156.88,14.39
20.0,300.0,48.8131449,7.8519728,142.66,143.35,0.69
30.0,300.0,48.8131449,7.8521092,142.76,142.76,0.0
40.0,300.0,48.8131449,7.8522456,142.6,144.43,1.83
50.0,300.0,48.8131449,7.852382,142.54,155.76,13.22
60.0,300.0,48.8131449,7.8525184,142.57,142.57,0.0
70.0,300.0,48.8131449,7.8526548,142.62,142.62,0.0
80.0,300.0,48.8131449,7.8527913,142.48,142.48,0.0
90.0,300.0,48.8131449,7.8529277,142.43,142.43,0.0
100.0,300.0,48.8131449,7.8530641,142.39,142.39,0.0
110.0,300.0,48.8131449,7.8532005,142.37,142.37,0.0
120.0,300.0,48.8131449,7.8533369,142.36,142.36,0.0
130.0,300.0,48.8131449,7.8534733,142.51,142.51,0.0
140.0,300.0,48.8131449,7.8536097,142.37,142.37,0.0
150.0,300.0,48.8131449,7.8537461,142.28,142.28,0.0
160.0,300.0,48.8131449,7.8538825,142.28,142.28,0.0
170.0,300.0,48.8131449,7.8540189,142.33,142.33,0.0
180.0,300.0,48.8131449,7.8541553,142.25,142.25,0.0
190.0,300.0,48.8131449,7.8542917,142.18,142.18,0.0
200.0,300.0,48.8131449,7.8544281,142.18,142.18,0.0
210.0,300.0,48.8131449,7.8545645,142.25,142.25,0.0
220.0,300.0,48.8131449,7.854701,142.13,142.13,0.0
230.0,300.0,48.8131449,7.8548374,142.11,145.72,3.61
240.0,300.0,48.8131449,7.8549738,141.15,155.0,13.85
250.0,300.0,48.8131449,7.8551102,142.16,143.96,1.8
260.0,300.0,48.8131449,7.8552466,142.13,142.13,0.0
270.0,300.0,48.8131449,7.855383,142.09,153.76,11.67
280.0,300.0,48.8131449,7.8555194,142.1,144.9,2.8
290.0,300.0,48.8131449,7.8556558,142.21,156.52,14.31
300.0,300.0,48.8131449,7.8557922,140.64,147.53,6.88
-300.0,290.0,48.8130551,7.8476078,143.86,147.54,3.68
-290.0,290.0,48.8130551,7.8477442,143.74,160.69,16.95
-280.0,290.0,48.8130551,7.8478806,143.3,143.3,0.0
-270.0,290.0,48.8130551,7.848017,143.29,145.68,2.39
-260.0,290.0,48.8130551,7.8481534,143.3,143.3,0.0
-250.0,290.0,48.8130551,7.8482898,143.23,148.94,5.71
-240.0,290.0,48.8130551,7.8484262,143.07,157.53,14.46
-230.0,290.0,48.8130551,7.8485626,143.1,152.21,9.11
-220.0,290.0,48.8130551,7.848699,143.19,144.62,1.43
-210.0,290.0,48.8130551,7.8488355,143.06,145.37,2.32
-200.0,290.0,48.8130551,7.8489719,143.13,144.63,1.5
-190.0,290.0,48.8130551,7.8491083,143.04,144.86,1.82
-180.0,290.0,48.8130551,7.8492447,143.15,143.15,0.0
-170.0,290.0,48.8130551,7.8493811,143.05,145.22,2.17
-160.0,290.0,48.8130551,7.8495175,143.1,145.38,2.28
-150.0,290.0,48.8130551,7.8496539,142.94,142.94,0.0
-140.0,290.0,48.8130551,7.8497903,142.99,146.2,3.21
-130.0,290.0,48.8130551,7.8499267,142.85,147.88,5.03
-120.0,290.0,48.8130551,7.8500631,142.8,142.8,0.0
-110.0,290.0,48.8130551,7.8501995,142.85,145.09,2.23
-100.0,290.0,48.8130551,7.8503359,142.63,149.75,7.12
-90.0,290.0,48.8130551,7.8504723,142.76,148.02,5.26
-80.0,290.0,48.8130551,7.8506087,142.65,142.65,0.0
-70.0,290.0,48.8130551,7.8507452,142.58,142.58,0.0
-60.0,290.0,48.8130551,7.8508816,142.57,142.57,0.0
-50.0,290.0,48.8130551,7.851018,142.63,142.63,0.0
-40.0,290.0,48.8130551,7.8511544,142.87,156.32,13.45
-30.0,290.0,48.8130551,7.8512908,142.75,152.61,9.86
-20.0,290.0,48.8130551,7.8514272,142.72,156.96,14.24
-10.0,290.0,48.8130551,7.8515636,142.67,149.19,6.52
0.0,290.0,48.8130551,7.8517,142.61,160.43,17.82
10.0,290.0,48.8130551,7.8518364,142.6,160.44,17.84
20.0,290.0,48.8130551,7.8519728,142.62,157.1,14.48
30.0,290.0,48.8130551,7.8521092,142.49,159.77,17.28
40.0,290.0,48.8130551,7.8522456,142.59,154.9,12.31
50.0,290.0,48.8130551,7.852382,142.54,152.19,9.65
60.0,290.0,48.8130551,7.8525184,142.66,142.66,0.0
70.0,290.0,48.8130551,7.8526548,142.54,142.54,0.0
80.0,290.0,48.8130551,7.8527913,142.45,142.45,0.0
90.0,290.0,48.8130551,7.8529277,142.42,142.42,0.0
