t_ms,shot,lat_deg,lon_deg,agl_m,alt_m,level_db,trend_db,contrast_db,freq_hz,alarm,clip
2860539,1,48.8093070,7.8572250,61.09,201.04,41.04,0.00,6.00,2700,1,0
2860578,2,48.8093070,7.8572455,61.29,201.25,41.39,0.00,6.00,2700,1,0
2860617,3,48.8093070,7.8572669,61.60,201.55,41.30,0.00,6.00,2700,1,0
2860619,4,48.8092933,7.8572771,61.79,201.75,43.12,0.00,6.00,2700,1,0
2860659,5,48.8092933,7.8572985,62.04,201.99,41.20,0.00,6.00,2700,1,0
2860698,6,48.8092797,7.8573198,62.15,202.10,42.67,0.00,6.00,2700,1,0
2860738,7,48.8092797,7.8573411,62.21,202.17,42.32,0.00,6.00,2700,1,0
2860740,8,48.8092660,7.8573522,62.19,202.14,42.88,0.00,6.00,2700,1,0
2860780,9,48.8092660,7.8573727,62.06,202.02,43.07,0.00,6.00,2700,1,0
2860819,10,48.8092523,7.8573830,61.93,201.88,42.42,0.00,6.00,2700,1,0
2860859,11,48.8092387,7.8574043,61.67,201.62,43.25,0.00,6.00,2700,1,0
2860898,12,48.8092387,7.8574257,61.48,201.43,42.79,0.00,6.00,2700,1,0
2860938,13,48.8092250,7.8574359,61.20,201.16,43.17,0.00,6.00,2700,1,0
2860940,14,48.8092114,7.8574470,61.05,201.00,40.54,0.00,6.00,2700,1,0
2860979,15,48.8091977,7.8574581,60.88,200.83,42.18,0.00,6.00,2700,1,0
2861018,16,48.8091977,7.8574684,60.80,200.76,42.78,0.00,6.00,2700,1,0
2861058,17,48.8091704,7.8574786,60.75,200.70,41.75,0.00,6.00,2700,1,0
2861060,18,48.8091704,7.8574795,60.73,200.68,42.27,0.00,6.00,2700,1,0
2861100,19,48.8091431,7.8574803,60.71,200.67,41.53,0.00,6.00,2700,1,0
2861140,20,48.8091431,7.8574803,60.70,200.66,41.43,0.00,6.00,2700,1,0
2861179,21,48.8091021,7.8574803,60.67,200.63,43.15,0.00,6.00,2700,1,0
2861181,22,48.8091021,7.8574803,60.64,200.59,41.27,0.00,6.00,2700,1,0
2861221,23,48.8090884,7.8574709,60.57,200.52,43.18,0.00,6.00,2700,1,0
2861260,24,48.8090884,7.8574709,60.52,200.47,41.16,0.00,6.00,2700,1,0
2861300,25,48.8090748,7.8574607,60.43,200.38,42.39,0.00,6.00,2700,1,0
2861301,26,48.8090611,7.8574504,60.36,200.32,40.72,0.00,6.00,2700,1,0
2861340,27,48.8090474,7.8574402,60.28,200.23,40.27,0.00,6.00,2700,1,0
2861379,28,48.8090338,7.8574299,60.23,200.18,42.65,0.00,6.00,2700,1,0
2861419,29,48.8090201,7.8574094,60.17,200.12,40.72,0.00,6.00,2700,1,0
2861459,30,48.8090201,7.8573992,60.14,200.09,41.58,0.00,6.00,2700,1,0
2861499,31,48.8090065,7.8573779,60.10,200.05,40.91,0.00,6.00,2700,1,0
2861500,32,48.8090065,7.8573574,60.07,200.03,40.93,0.00,6.00,2700,1,0
2861540,33,48.8089928,7.8573369,60.05,200.00,40.83,0.00,6.00,2700,1,0
2861579,34,48.8089928,7.8573266,60.03,199.98,42.83,0.00,6.00,2700,1,0
2861619,35,48.8089928,7.8572950,60.01,199.96,42.25,0.00,6.00,2700,1,0
2861620,36,48.8089928,7.8572848,60.00,199.95,41.48,0.00,6.00,2700,1,0
2861660,37,48.8089928,7.8572532,60.00,199.95,42.58,0.00,6.00,2700,1,0
2861700,38,48.8089928,7.8572430,60.00,199.96,42.23,0.00,6.00,2700,1,0
2861740,39,48.8089928,7.8572114,60.03,199.98,43.11,0.00,6.00,2700,1,0
2861741,40,48.8089928,7.8572003,60.06,200.01,42.67,0.00,6.00,2700,1,0
2861781,41,48.8090065,7.8571798,60.10,200.06,42.62,0.00,6.00,2700,1,0
2861820,42,48.8090065,7.8571584,60.14,200.09,42.34,0.00,6.00,2700,1,0
2861860,43,48.8090065,7.8571379,60.18,200.13,42.18,0.00,6.00,2700,1,0
2861900,44,48.8090201,7.8571320,60.20,200.15,42.77,0.00,6.00,2700,1,0
2861901,45,48.8090201,7.8571115,60.22,200.18,40.66,0.00,6.00,2700,1,0
2861941,46,48.8090338,7.8570901,60.23,200.18,42.01,0.00,6.00,2700,1,0
2861981,47,48.8090338,7.8570688,60.23,200.18,41.22,0.00,6.00,2700,1,0
2862020,48,48.8090474,7.8570585,60.23,200.18,43.06,0.00,6.00,2700,1,0
2862060,49,48.8090474,7.8570372,60.22,200.18,43.66,0.00,6.00,2700,1,0
2862061,50,48.8090611,7.8570261,60.21,200.17,41.13,0.00,6.00,2700,1,0
2862101,51,48.8090611,7.8570056,60.21,200.16,41.00,0.00,6.00,2700,1,0
2862141,52,48.8090748,7.8569843,60.20,200.15,42.26,0.00,6.00,2700,1,0
2862181,53,48.8090748,7.8569638,60.19,200.15,42.18,0.00,6.00,2700,1,0
2862181,54,48.8090884,7.8569527,60.19,200.14,42.62,0.00,6.00,2700,1,0
2862221,55,48.8090884,7.8569313,60.19,200.14,43.90,0.00,6.00,2700,1,0
2862261,56,48.8091021,7.8569202,60.20,200.15,42.59,0.00,6.00,2700,1,0
2862301,57,48.8091157,7.8568997,60.20,200.16,41.64,0.00,6.00,2700,1,0
2862302,58,48.8091157,7.8568784,60.21,200.16,41.65,0.00,6.00,2700,1,0
2862342,59,48.8091294,7.8568571,60.22,200.18,42.07,0.00,6.00,2700,1,0
2862382,60,48.8091294,7.8568468,60.23,200.18,41.72,0.00,6.00,2700,1,0
2862422,61,48.8091431,7.8568255,60.24,200.19,42.26,0.00,6.00,2700,1,0
2862461,62,48.8091431,7.8568152,60.25,200.20,43.73,0.00,6.00,2700,1,0
2862462,63,48.8091567,7.8567939,60.25,200.21,41.22,0.00,6.00,2700,1,0
2862502,64,48.8091567,7.8567725,60.26,200.21,43.99,0.00,6.00,2700,1,0
2862542,65,48.8091704,7.8567520,60.27,200.22,43.61,0.00,6.00,2700,1,0
2862582,66,48.8091704,7.8567409,60.27,200.22,43.83,0.00,6.00,2700,1,0
2862622,67,48.8091840,7.8567256,60.27,200.22,44.17,0.00,6.00,2700,1,0
2862622,68,48.8091840,7.8567042,60.27,200.22,43.40,0.00,6.00,2700,1,0
2862663,69,48.8091977,7.8566829,60.26,200.21,42.07,0.00,6.00,2700,1,0
2862702,70,48.8091977,7.8566726,60.26,200.21,43.08,0.00,6.00,2700,1,0
2862742,71,48.8091977,7.8566410,60.25,200.20,43.12,0.00,6.00,2700,1,0
2862743,72,48.8092114,7.8566299,60.23,200.19,44.41,0.00,6.00,2700,1,0
2862783,73,48.8092114,7.8566095,60.22,200.17,43.78,0.00,6.00,2700,1,0
2862823,74,48.8092250,7.8565890,60.21,200.16,43.36,0.00,6.00,2700,1,0
2862863,75,48.8092250,7.8565676,60.19,200.14,43.29,0.00,6.00,2700,1,0
